,AdrActCnt,CapAct1yrUSD,PriceUSD,times,OneDayReturn,NextDayReturn
0,0.0,,,2017-09-23,,
1,8.0,,,2017-09-24,,
2,16.0,,,2017-09-25,,
3,4.0,,,2017-09-26,,
4,12.0,,,2017-09-27,,
5,65.0,,,2017-09-28,,
6,4747.0,,,2017-09-29,,
7,4976.0,,,2017-09-30,,
8,5973.0,,,2017-10-01,,
9,5858.0,,,2017-10-02,,
10,3701.0,,,2017-10-03,,
11,1769.0,,,2017-10-04,,
12,2454.0,,,2017-10-05,,
13,1844.0,,,2017-10-06,,
14,1371.0,,,2017-10-07,,
15,1406.0,,,2017-10-08,,
16,1460.0,,,2017-10-09,,
17,1376.0,,,2017-10-10,,
18,1172.0,,,2017-10-11,,
19,1411.0,,,2017-10-12,,
20,1642.0,,,2017-10-13,,
21,1944.0,,,2017-10-14,,
22,1450.0,,,2017-10-15,,
23,1311.0,,,2017-10-16,,
24,1343.0,,,2017-10-17,,
25,1042.0,,,2017-10-18,,
26,1124.0,,,2017-10-19,,
27,1477.0,,,2017-10-20,,
28,1204.0,,,2017-10-21,,
29,1118.0,,,2017-10-22,,
30,657.0,,,2017-10-23,,
31,1556.0,,,2017-10-24,,
32,941.0,,,2017-10-25,,
33,910.0,,,2017-10-26,,
34,960.0,,,2017-10-27,,
35,791.0,,,2017-10-28,,
36,881.0,,,2017-10-29,,
37,1195.0,,,2017-10-30,,
38,1328.0,,,2017-10-31,,
39,1245.0,,,2017-11-01,,
40,1017.0,,,2017-11-02,,
41,830.0,,,2017-11-03,,
42,774.0,,,2017-11-04,,
43,813.0,,,2017-11-05,,
44,1046.0,,,2017-11-06,,
45,858.0,,,2017-11-07,,
46,790.0,,,2017-11-08,,
47,1333.0,,,2017-11-09,,
48,1160.0,,,2017-11-10,,
49,737.0,,,2017-11-11,,
50,800.0,,,2017-11-12,,
51,813.0,,,2017-11-13,,
52,986.0,,,2017-11-14,,
53,1000.0,,,2017-11-15,,
54,968.0,,,2017-11-16,,
55,817.0,,,2017-11-17,,
56,963.0,,,2017-11-18,,
57,973.0,,,2017-11-19,,
58,1474.0,,,2017-11-20,,
59,1163.0,,,2017-11-21,,
60,1014.0,,,2017-11-22,,
61,1041.0,,,2017-11-23,,
62,1029.0,,,2017-11-24,,
63,1085.0,,,2017-11-25,,
64,1757.0,,,2017-11-26,,
65,2668.0,,,2017-11-27,,
66,4719.0,,,2017-11-28,,
