date,dollars
2019-03-04,33433.7497258381
2019-03-05,60158.866657289334
2019-03-06,45949.24084703925
2019-03-07,31818.169232013548
2019-03-08,42633.496233088124
2019-03-11,22078.993567045873
2019-03-12,30050.297181389178
2019-03-13,31867.300721741613
2019-03-14,19197.516172953543
2019-03-15,32494.403008424935
2019-03-18,34508.95671949434
2019-03-19,38218.7256844036
2019-03-20,27274.423593272146
2019-03-21,19832.22061147085
2019-03-22,25227.83424916774
2019-03-25,20882.926512421443
2019-03-26,51215.1993591612
2019-03-27,29522.52760201175
2019-03-28,27394.64888911506
2019-03-29,49545.99071181771
2019-04-01,43556.80204899378
2019-04-02,50411.359309095256
2019-04-03,42613.01108911088
2019-04-04,41361.30957341814
2019-04-05,38299.189735577835
2019-04-08,40138.726498257725
2019-04-09,34577.89202750995
2019-04-10,34409.643594295936
2019-04-11,39029.98518090497
2019-04-12,28946.729088460834
2019-04-15,55646.93573503575
2019-04-16,28303.94628375828
2019-04-17,26472.01013559141
2019-04-18,33644.386424023425
2019-04-19,31196.571096899173
2019-04-22,24292.250386334177
2019-04-23,27407.283417100927
2019-04-24,39790.04998812212
2019-04-25,15165.125983787671
2019-04-26,25910.593917982842
2019-04-29,23827.02825523349
2019-04-30,16155.196156714812
2019-05-01,24240.04259087548
2019-05-02,37810.03263263016
2019-05-03,27514.230686708357
2019-05-06,32348.38437660304
2019-05-07,26670.521117463315
2019-05-08,24926.16124009294
2019-05-09,21728.339610471226
2019-05-10,34202.787570502296
2019-05-14,17570.260174246025
2019-05-15,52121.42312738296
2019-05-16,31006.834339615194
2019-05-17,25059.994699456256
2019-05-20,23957.33038342251
2019-05-21,37249.58626305399
2019-05-22,30216.90812166101
2019-05-23,35532.43830765095
2019-05-24,32634.09945875591
2019-05-27,147812.35972741808
2019-05-28,41970.36572180179
2019-05-29,29407.101276304682
2019-05-30,33306.87101524485
2019-05-31,50172.38279514063
2019-06-03,28593.83595743999
2019-06-04,20433.56997497303
2019-06-05,23769.45812572046
2019-06-06,23994.52588039809
2019-06-07,42308.25740120715
