id,name,category,subcategory,description
AdrActCnt,"Addresses, active, count",Addresses,Activity,The sum count of unique addresses that were active in the network (either as a recipient or originator of a ledger change) that day. All parties in a ledger change action (recipients and originators) are counted. Individual addresses are not double-counted if previously active.  
AdrActRecCnt,"Addresses, active, received, count",Addresses,Activity,The sum count of unique addresses that were active in the network (as a recipient of a ledger change) that day.
AdrActSentCnt,"Addresses, active, sent, count",Addresses,Activity,The sum count of unique addresses that were active in the network (as an originator of a ledger change) that day.
AdrBalAdjCnt,"Addresses, with balance, adjusted, count",Addresses,Balance,"The sum count of unique addresses holding at least one one-billionth ownership of the current supply of native units as of the end of that day. Only native units are considered (e.g., an address with less than one one-billionth ETH but with ERC-20 tokens would not be considered)."
AdrBalCnt,"Addresses, any balance, count",Addresses,Balance,"The sum count of unique addresses holding any amount of native units as of the end of that day. Only native units are considered (e.g., a 0 ETH balance address with ERC-20 tokens would not be considered)."
BlkCnt,"Block, count",Blockchain / ledger,Blocks,The sum count of blocks created that day that were included in the main (base) chain.
BlkIntMean,"Block, interval, mean",Blockchain / ledger,Blocks,The mean time (in seconds) between all the blocks created that day.
BlkSizeMeanByte,"Block, size, mean, bytes",Blockchain / ledger,Blocks,The mean size (in bytes) of all blocks created that day.
CapAct1yrUSD,"Capitalization, active supply, 1 yr, USD",Market,Market Capitalization,The sum USD value of all active native units in the last year. 
CapFutExp10yrUSD,"Capitalization, future expected supply, next 10 yr, USD",Market,Market Capitalization,The sum USD value of all native units counting the current supply and including those that will be issued over the next 10 years if the current known issuance schedule is followed.
CapMVRVCur,"Capitalization, MVRV, current supply",Market,Market Capitalization,"The ratio of the sum USD value of the current supply to the sum ""realized"" USD value of the current supply."
CapMrktCurUSD,"Capitalization, market, current supply, USD",Market,Market Capitalization,The sum USD value of the current supply. Also referred to as network value or market capitalization. 
CapRealUSD,"Capitalization, realized, USD",Market,Market Capitalization,"The sum USD value based on the USD closing price on the day that a native unit last moved (i.e., last transacted) for all native units. "
DiffMean,"Difficulty, mean",Mining,Mining,"The mean difficulty of finding a hash that meets the protocol-designated requirement (i.e., the difficulty of finding a new block) that day. The requirement is unique to each applicable cryptocurrency protocol. Difficulty is adjusted periodically by the protocol as a function of how much hashing power is being deployed by miners."
FeeMeanNtv,"Fees, transaction, mean, native units",Fees and revenue,Fees,The mean fee per transaction in native units that day. 
FeeMeanUSD,"Fees, transaction, mean, USD",Fees and revenue,Fees,The USD value of the mean fee per transaction that day. 
FeeMedNtv,"Fees, transaction, median, native units",Fees and revenue,Fees,The median fee per transaction in native units that day.
FeeMedUSD,"Fees, transaction, median, USD",Fees and revenue,Fees,The USD value of the median fee per transaction that day.
FeeRevPct,"Fees, revenue, percent",Fees and revenue,Fees,The percentage of miner revenue derived from fees that day. This is equal to the fee divided by the fees plus new issuance. 
FeeTotNtv,"Fees, total, native units",Fees and revenue,Fees,The sum of all fees paid to miners that day.
FeeTotUSD,"Fees, total, USD",Fees and revenue,Fees,The sum USD value of all fees paid to miners that day. Fees do not include new issuance. 
GasLmtBlk,"Gas, limit, block",Fees and revenue,Fees,The sum gas limit of all blocks that day.
GasLmtBlkMean,"Gas, limit, block, mean",Fees and revenue,Fees,The mean gas limit per block that day.
GasLmtTx,"Gas, limit, transaction",Fees and revenue,Fees,The sum gas limit of all transactions that day.
GasLmtTxMean,"Gas, limit, transaction, mean ",Fees and revenue,Fees,The mean gas limit per transaction that day.
GasUsedTx,"Gas, used, transaction",Fees and revenue,Fees,"The sum gas used (i.e., paid) across all transactions that day."
GasUsedTxMean,"Gas, used, transaction, mean",Fees and revenue,Fees,"The mean gas used (i.e., paid) per transaction that day."
HashRate,"Hash rate, mean",Mining,Mining,The mean rate at which miners are solving hashes that day. Hash rate is the speed at which computations are being completed across all miners in the network. The unit of measurement varies depending on the protocol. 
IssContNtv,"Issuance, continuous, native units",Supply,Issuance,The sum of new native units issued that day. Only those native units that are issued by a protocol-mandated continuous emission schedule are included. 
IssContPctAnn,"Issuance, continuous, percent, annualized",Supply,Issuance,"The percentage of new native units (continuous) issued on that day, extrapolated to one year (i.e., multiplied by 365), and divided by the current supply on that day. Also referred to as the annual inflation rate. "
IssContPctDay,"Issuance, continuous, percent, daily",Supply,Issuance,The percentage of new native units (continuous) issued on that day divided by the current supply on that day. Also referred to as the daily inflation rate. 
IssTotNtv,"Issuance, total, native units",Supply,Issuance,The sum of all new native units issued that day. 
IssTotUSD,"Issuance, total, USD",Supply,Issuance,The sum USD value of all new native units issued that day.
NVTAdj,"NVT, adjusted",Valuation,Valuation,"The ratio of the network value (or market capitalization, current supply) divided by the adjusted transfer value. Also referred to as NVT. "
NVTAdj90,"NVT, adjusted, 90d MA",Valuation,Valuation,"The ratio of the network value (or market capitalization, current supply) to the 90-day moving average of the adjusted transfer value. Also referred to as NVT."
PriceBTC,"Price, BTC",Market,Price,"The fixed closing price of the asset as of 00:00 UTC the following day (i.e., midnight UTC of the current day) denominated in BTC. "
PriceUSD,"Price, USD",Market,Price,"The fixed closing price of the asset as of 00:00 UTC the following day (i.e., midnight UTC of the current day) denominated in USD. This price is generated by Coin Metrics' fixing/reference rate service. "
RevAllTimeUSD,"Miner revenue, all time, USD",Fees and revenue,Revenue,The sum USD value of all miner revenue (fees plus newly issued native units) for all time. 
RevUSD,"Miner revenue, USD",Fees and revenue,Revenue,The sum USD value of all miner revenue (fees plus newly issued native units) that day.
SplyAct180d,"Supply, active, 180 d",Supply,Active supply,The sum of unique native units that transacted at least once in the trailing 180 days up to that day. Native units that transacted more than once are only counted once. 
SplyAct1yr,"Supply, active, 1 yr",Supply,Active supply,The sum of unique native units that transacted at least once in the trailing 1 year up to that day. Native units that transacted more than once are only counted once. 
SplyAct30d,"Supply, active, 30d",Supply,Active supply,The sum of unique native units that transacted at least once in the trailing 30 days up to that day. Native units that transacted more than once are only counted once. 
SplyActPct1yr,"Supply, active, percent, 1 yr",Supply,Active supply,The percentage of the current supply that has been active in the trailing 1 year up to that day. 
SplyCur,"Supply, current",Supply,Current supply,"The sum of all native units ever created and visible on the ledger (i.e., issued) as of that day. For account-based protocols, only accounts with positive balances are counted. "
SplyExpFut10yr,"Supply, future expected, next 10 yr",Supply,Future expected supply,The sum of all native units counting current supply and including all those expected to be issued over the next 10 years from that day if the current known continuous issuance schedule is followed. Future expected hard-forks that will change the continuous issuance are not considered until the day they are activated/enforced. 
TxCnt,"Transactions, count",Transactions,Transactions,"The sum count of transactions that day. Transactions represent a bundle of intended actions to alter the ledger initiated by a user (human or machine). Transactions are counted whether they execute or not and whether they result in the transfer of native units or not (a transaction can result in no, one, or many transfers). Changes to the ledger mandated by the protocol (and not by a user) or post-launch new issuance issued by a founder or controlling entity are not included here. "
TxCntSec,"Transactions, count, per second",Transactions,Transactions,The sum count of transactions divided by the number of seconds that day.
TxMeanByte,"Transactions, mean, bytes",Transactions,Transactions,The mean size (in bytes) per transaction for all transactions that day.
TxTfr,"Transactions, transfers, count",Transactions,Transfers,The sum count of transfers that day. Transfers represent movements of native units from one ledger entity to another distinct ledger entity. Only transfers that are the result of a transaction and that have a positive (non-zero) value are counted. 
TxTfrMeanByte,"Transactions, transfers, mean, bytes",Transactions,Transfers,The mean size (in bytes) per transfer that day. 
TxTfrValAdjByte,"Transactions, transfers, value, adjusted, per byte, USD",Transactions,Transfers,The mean USD value per byte transferred for all transfers that day removing noise and certain artifacts.
