date,dollars
2019-03-04,962
2019-03-05,1100
2019-03-06,1257
2019-03-07,1132
2019-03-08,1540
2019-03-11,1209
2019-03-12,1138
2019-03-13,1193
2019-03-14,1053
2019-03-15,1078
2019-03-18,967
2019-03-19,1019
2019-03-20,1016
2019-03-21,1166
2019-03-22,1237
2019-03-25,1427
2019-03-26,1635
2019-03-27,1232
2019-03-28,1437
2019-03-29,1446
2019-04-01,1359
2019-04-02,1218
2019-04-03,834
2019-04-04,946
2019-04-05,851
2019-04-08,778
2019-04-09,949
2019-04-10,870
2019-04-11,948
2019-04-12,884
2019-04-15,750
2019-04-16,937
2019-04-17,990
2019-04-18,929
2019-04-19,871
2019-04-22,807
2019-04-23,862
2019-04-24,1008
2019-04-25,794
2019-04-26,782
2019-04-29,941
2019-04-30,860
2019-05-01,996
2019-05-02,954
2019-05-03,888
2019-05-06,894
2019-05-07,817
2019-05-08,640
2019-05-09,849
2019-05-10,987
2019-05-14,773
2019-05-15,594
2019-05-16,644
2019-05-17,696
2019-05-20,776
2019-05-21,820
2019-05-22,1031
2019-05-23,984
2019-05-24,1155
2019-05-27,1157
2019-05-28,957
2019-05-29,953
2019-05-30,1367
2019-05-31,1126
2019-06-03,867
2019-06-04,849
2019-06-05,1171
2019-06-06,984
2019-06-07,1696
